source,target
0,1
0,10
0,11
0,14
0,18
0,19
0,21
1,0
1,2
1,4
1,6
1,7
1,11
1,12
1,14
1,15
1,23
2,1
2,3
2,5
2,8
2,12
2,15
2,20
3,2
3,4
3,5
3,8
3,9
3,14
3,17
3,22
4,1
4,3
4,5
4,15
4,18
5,2
5,3
5,4
5,6
5,7
5,8
5,10
5,16
5,18
5,19
6,1
6,5
6,7
6,17
6,19
6,20
7,1
7,5
7,6
7,8
7,10
7,12
7,20
7,21
8,2
8,3
8,5
8,7
8,9
8,11
8,14
8,21
9,3
9,8
9,10
9,12
9,14
9,20
9,22
10,0
10,5
10,7
10,9
10,11
10,13
10,15
10,21
11,0
11,1
11,8
11,10
11,12
11,13
11,14
12,1
12,2
12,7
12,9
12,11
12,13
12,15
12,22
12,23
13,10
13,11
13,12
13,14
13,15
13,16
14,0
14,1
14,3
14,8
14,9
14,11
14,13
14,15
14,16
14,20
15,1
15,2
15,4
15,10
15,12
15,13
15,14
15,16
16,5
16,13
16,14
16,15
16,17
16,19
17,3
17,6
17,16
17,18
17,20
18,0
18,4
18,5
18,17
18,19
18,23
19,0
19,5
19,6
19,16
19,18
19,20
20,2
20,6
20,7
20,9
20,14
20,17
20,19
20,21
20,23
21,0
21,7
21,8
21,10
21,20
21,22
22,3
22,9
22,12
22,21
22,23
23,1
23,12
23,18
23,20
23,22
24,25
24,26
24,28
24,29
24,34
24,36
24,41
24,42
25,24
25,26
25,27
25,36
25,41
25,42
25,43
26,24
26,25
26,27
26,31
26,32
26,42
27,25
27,26
27,28
27,39
27,42
27,46
27,47
28,24
28,27
28,29
28,32
28,38
28,40
28,45
29,24
29,28
29,30
29,36
29,39
29,45
30,29
30,31
30,35
30,38
30,39
30,44
30,47
31,26
31,30
31,32
31,34
31,37
31,38
31,43
32,26
32,28
32,31
32,33
32,37
32,41
32,42
32,44
32,45
33,32
33,34
33,35
33,36
33,41
33,43
34,24
34,31
34,33
34,35
34,37
34,41
35,30
35,33
35,34
35,36
35,38
35,39
35,41
35,42
36,24
36,25
36,29
36,33
36,35
36,37
36,41
36,46
37,31
37,32
37,34
37,36
37,38
37,47
38,28
38,30
38,31
38,35
38,37
38,39
38,44
38,46
39,27
39,29
39,30
39,35
39,38
39,40
39,45
40,28
40,39
40,41
40,42
40,44
41,24
41,25
41,32
41,33
41,34
41,35
41,36
41,40
41,42
42,24
42,25
42,26
42,27
42,32
42,35
42,40
42,41
42,43
42,47
43,25
43,31
43,33
43,42
43,44
43,47
44,30
44,32
44,38
44,40
44,43
44,45
44,46
45,28
45,29
45,32
45,39
45,44
45,46
46,27
46,36
46,38
46,44
46,45
46,47
47,27
47,30
47,37
47,42
47,43
47,46
48,49
48,55
48,61
48,64
49,48
49,50
49,61
49,62
49,64
49,70
50,49
50,51
50,54
50,56
50,69
50,70
51,50
51,52
51,54
51,59
51,60
51,66
51,67
52,51
52,53
52,57
52,59
52,67
52,68
52,69
53,52
53,54
53,57
53,58
53,65
53,66
53,67
54,50
54,51
54,53
54,55
54,57
54,58
54,63
54,66
54,67
55,48
55,54
55,56
55,62
55,66
55,71
56,50
56,55
56,57
56,63
56,65
56,69
56,71
57,52
57,53
57,54
57,56
57,58
57,70
58,53
58,54
58,57
58,59
58,61
58,63
58,69
59,51
59,52
59,58
59,60
59,62
59,68
60,51
60,59
60,61
60,65
60,70
61,48
61,49
61,58
61,60
61,62
61,68
62,49
62,55
62,59
62,61
62,63
62,66
63,54
63,56
63,58
63,62
63,64
63,70
63,71
64,48
64,49
64,63
64,65
64,69
64,71
65,53
65,56
65,60
65,64
65,66
65,68
65,69
65,70
66,51
66,53
66,54
66,55
66,62
66,65
66,67
66,71
67,51
67,52
67,53
67,54
67,66
67,68
68,52
68,59
68,61
68,65
68,67
68,69
69,50
69,52
69,56
69,58
69,64
69,65
69,68
69,70
70,49
70,50
70,57
70,60
70,63
70,65
70,69
70,71
71,55
71,56
71,63
71,64
71,66
71,70
72,73
72,74
72,82
72,84
72,90
72,91
72,94
73,72
73,74
73,86
73,91
73,93
73,94
74,72
74,73
74,75
74,76
74,77
74,78
74,86
74,92
74,94
75,74
75,76
75,79
75,80
75,85
75,87
76,74
76,75
76,77
76,78
76,79
76,80
76,87
76,88
76,95
77,74
77,76
77,78
77,81
77,89
77,95
78,74
78,76
78,77
78,79
78,80
78,81
78,89
78,90
79,75
79,76
79,78
79,80
79,81
79,93
80,75
80,76
80,78
80,79
80,81
80,83
80,92
81,77
81,78
81,79
81,80
81,82
81,86
81,91
81,94
82,72
82,81
82,83
82,85
82,93
82,94
83,80
83,82
83,84
83,85
83,95
84,72
84,83
84,85
84,87
84,90
84,95
85,75
85,82
85,83
85,84
85,86
85,87
85,89
85,91
86,73
86,74
86,81
86,85
86,87
86,88
86,92
87,75
87,76
87,84
87,85
87,86
87,88
87,89
88,76
88,86
88,87
88,89
88,91
89,77
89,78
89,85
89,87
89,88
89,90
89,91
89,95
90,72
90,78
90,84
90,89
90,91
90,93
91,72
91,73
91,81
91,85
91,88
91,89
91,90
91,92
91,95
92,74
92,80
92,86
92,91
92,93
92,94
92,95
93,73
93,79
93,82
93,90
93,92
93,94
94,72
94,73
94,74
94,81
94,82
94,92
94,93
94,95
95,76
95,77
95,83
95,84
95,89
95,91
95,92
95,94
96,97
96,98
96,105
96,111
97,96
97,98
97,103
97,104
97,106
98,96
98,97
98,99
98,100
98,107
98,115
99,98
99,100
99,108
99,113
99,114
99,116
100,98
100,99
100,101
100,109
100,110
100,114
100,115
100,117
101,100
101,102
101,108
101,115
101,116
101,118
102,101
102,103
102,104
102,108
102,109
102,117
103,97
103,102
103,104
103,105
103,109
103,112
104,97
104,102
104,103
104,105
104,106
104,110
104,113
104,118
104,119
105,96
105,103
105,104
105,106
105,107
105,114
105,115
106,97
106,104
106,105
106,107
106,108
106,113
106,115
107,98
107,105
107,106
107,108
107,117
108,99
108,101
108,102
108,106
108,107
108,109
108,115
108,117
109,100
109,102
109,103
109,108
109,110
109,111
109,115
109,118
109,119
110,100
110,104
110,109
110,111
110,117
110,119
111,96
111,109
111,110
111,112
112,103
112,111
112,113
112,114
113,99
113,104
113,106
113,112
113,114
113,119
114,99
114,100
114,105
114,112
114,113
114,115
115,98
115,100
115,101
115,105
115,106
115,108
115,109
115,114
115,116
116,99
116,101
116,115
116,117
116,118
117,100
117,102
117,107
117,108
117,110
117,116
117,118
118,101
118,104
118,109
118,116
118,117
118,119
119,104
119,109
119,110
119,113
119,118
120,121
120,127
120,133
120,142
121,120
121,122
121,127
121,128
121,133
121,135
121,140
121,143
122,121
122,123
122,124
122,127
122,132
122,134
122,135
122,142
123,122
123,124
123,126
123,131
123,141
124,122
124,123
124,125
124,130
124,131
124,132
124,137
124,143
125,124
125,126
125,132
125,136
125,137
125,139
126,123
126,125
126,127
126,130
126,136
126,143
127,120
127,121
127,122
127,126
127,128
127,129
127,132
127,134
128,121
128,127
128,129
128,133
128,134
128,135
128,137
129,127
129,128
129,130
129,133
129,141
130,124
130,126
130,129
130,131
131,123
131,124
131,130
131,132
131,133
131,134
131,139
132,122
132,124
132,125
132,127
132,131
132,133
132,137
132,140
133,120
133,121
133,128
133,129
133,131
133,132
133,134
133,137
133,139
133,140
134,122
134,127
134,128
134,131
134,133
134,135
135,121
135,122
135,128
135,134
135,136
135,143
136,125
136,126
136,135
136,137
136,143
137,124
137,125
137,128
137,132
137,133
137,136
137,138
137,141
137,143
138,137
138,139
138,140
138,142
138,143
139,125
139,131
139,133
139,138
139,140
139,142
140,121
140,132
140,133
140,138
140,139
140,141
141,123
141,129
141,137
141,140
141,142
142,120
142,122
142,138
142,139
142,141
142,143
143,121
143,124
143,126
143,135
143,136
143,137
143,138
143,142
