source,target
0,1
0,6
1,0
1,2
1,7
2,1
2,3
2,8
3,2
3,4
3,9
4,3
4,5
4,10
5,4
5,11
6,0
6,7
6,12
7,1
7,6
7,8
7,13
8,2
8,7
8,9
8,14
9,3
9,8
9,10
9,15
10,4
10,9
10,11
10,16
11,5
11,10
11,17
12,6
12,13
12,18
13,7
13,12
13,14
13,19
14,8
14,13
14,15
14,20
15,9
15,14
15,16
15,21
16,10
16,15
16,17
16,22
17,11
17,16
17,23
18,12
18,19
18,24
19,13
19,18
19,20
19,25
20,14
20,19
20,21
20,26
21,15
21,20
21,22
21,27
22,16
22,21
22,23
22,28
23,17
23,22
23,29
24,18
24,25
25,19
25,24
25,26
26,20
26,25
26,27
27,21
27,26
27,28
28,22
28,27
28,29
29,23
29,28
