case,delta,variant,ms_per_run,iterations,correct
layered_64x2048_f8,2,cpu,2.0466,0,True
layered_64x2048_f8,2,gpu,4.502730666666666,52,True
layered_64x2048_f8,2,gpu-frontier,4.313632,64,True
layered_64x2048_f8,2,gpu-delta-stepping,100.97908866666667,612,True
layered_64x2048_f8,2,gpu-delta-light-heavy,118.55004533333333,612,True
layered_64x2048_f8,4,cpu,2.1103666666666667,0,True
layered_64x2048_f8,4,gpu,3.9085866666666664,53,True
layered_64x2048_f8,4,gpu-frontier,4.401216,64,True
layered_64x2048_f8,4,gpu-delta-stepping,57.713320333333336,454,True
layered_64x2048_f8,4,gpu-delta-light-heavy,83.97095233333333,454,True
layered_64x2048_f8,8,cpu,2.1304333333333334,0,True
layered_64x2048_f8,8,gpu,3.748810666666667,52,True
layered_64x2048_f8,8,gpu-frontier,4.370709333333333,64,True
layered_64x2048_f8,8,gpu-delta-stepping,39.427008,357,True
layered_64x2048_f8,8,gpu-delta-light-heavy,49.957853666666665,357,True
layered_64x2048_f8,16,cpu,2.229833333333333,0,True
layered_64x2048_f8,16,gpu,3.8197546666666664,53,True
layered_64x2048_f8,16,gpu-frontier,4.418090666666667,64,True
layered_64x2048_f8,16,gpu-delta-stepping,33.96195166666667,285,True
layered_64x2048_f8,16,gpu-delta-light-heavy,41.44147133333333,285,True
layered_64x2048_f8,32,cpu,2.1179666666666668,0,True
layered_64x2048_f8,32,gpu,3.845034666666667,55,True
layered_64x2048_f8,32,gpu-frontier,4.533984,64,True
layered_64x2048_f8,32,gpu-delta-stepping,27.867776000000003,235,True
layered_64x2048_f8,32,gpu-delta-light-heavy,30.417471000000003,235,True
layered_64x2048_f8,64,cpu,2.1169333333333333,0,True
layered_64x2048_f8,64,gpu,3.8729386666666668,53,True
layered_64x2048_f8,64,gpu-frontier,3.803402666666667,64,True
layered_64x2048_f8,64,gpu-delta-stepping,17.493888333333334,199,True
layered_64x2048_f8,64,gpu-delta-light-heavy,18.186464333333333,199,True
layered_64x2048_f8,128,cpu,2.2407,0,True
layered_64x2048_f8,128,gpu,3.6923733333333337,55,True
layered_64x2048_f8,128,gpu-frontier,4.421866666666666,64,True
layered_64x2048_f8,128,gpu-delta-stepping,14.832885666666668,174,True
layered_64x2048_f8,128,gpu-delta-light-heavy,15.834432,174,True
random_16384_d8,2,cpu,3.408533333333333,0,True
random_16384_d8,2,gpu,0.7724479999999999,12,True
random_16384_d8,2,gpu-frontier,1.1856106666666666,18,True
random_16384_d8,2,gpu-delta-stepping,7.694997333333333,53,True
random_16384_d8,2,gpu-delta-light-heavy,9.406581666666666,53,True
random_16384_d8,4,cpu,3.0346333333333333,0,True
random_16384_d8,4,gpu,1.1196906666666666,12,True
random_16384_d8,4,gpu-frontier,1.1630719999999999,18,True
random_16384_d8,4,gpu-delta-stepping,4.647722666666667,42,True
random_16384_d8,4,gpu-delta-light-heavy,5.9055143333333335,42,True
random_16384_d8,8,cpu,3.1851333333333334,0,True
random_16384_d8,8,gpu,0.7100693333333333,12,True
random_16384_d8,8,gpu-frontier,1.168288,18,True
random_16384_d8,8,gpu-delta-stepping,3.252682666666667,33,True
random_16384_d8,8,gpu-delta-light-heavy,4.097952,33,True
random_16384_d8,16,cpu,3.0883333333333334,0,True
random_16384_d8,16,gpu,0.7136853333333333,12,True
random_16384_d8,16,gpu-frontier,2.1058773333333334,18,True
random_16384_d8,16,gpu-delta-stepping,2.3864,26,True
random_16384_d8,16,gpu-delta-light-heavy,3.398688,26,True
random_16384_d8,32,cpu,3.1238333333333332,0,True
random_16384_d8,32,gpu,0.7320426666666666,13,True
random_16384_d8,32,gpu-frontier,1.1337493333333333,18,True
random_16384_d8,32,gpu-delta-stepping,1.7751466666666669,21,True
random_16384_d8,32,gpu-delta-light-heavy,2.2287893333333333,21,True
random_16384_d8,64,cpu,3.2291000000000003,0,True
random_16384_d8,64,gpu,0.7691946666666666,12,True
random_16384_d8,64,gpu-frontier,1.2638933333333333,18,True
random_16384_d8,64,gpu-delta-stepping,2.5743466666666666,19,True
random_16384_d8,64,gpu-delta-light-heavy,3.155893333333333,19,True
random_16384_d8,128,cpu,3.1170333333333335,0,True
random_16384_d8,128,gpu,1.176672,13,True
random_16384_d8,128,gpu-frontier,2.6654826666666667,18,True
random_16384_d8,128,gpu-delta-stepping,1.5650773333333332,18,True
random_16384_d8,128,gpu-delta-light-heavy,3.3704,18,True
