graph_kind,label,shape,nodes,edges,cpu_ms_per_run,gpu_global_ms_per_run,gpu_frontier_ms_per_run,gpu_delta_ms_per_run,speedup_cpu_over_gpu_global,speedup_cpu_over_gpu_frontier,speedup_cpu_over_gpu_delta,gpu_global_to_frontier_speedup,gpu_global_to_delta_speedup,gpu_frontier_to_delta_speedup,gpu_global_iterations,gpu_frontier_iterations,gpu_delta_iterations,gpu_global_converged,gpu_frontier_converged,gpu_delta_converged,gpu_global_edge_iterations,gpu_frontier_active_node_visits,gpu_delta_active_node_visits,gpu_frontier_edge_work_estimate,gpu_delta_edge_work_estimate,gpu_frontier_max_frontier_size,gpu_delta_max_frontier_size,reached_count,max_finite_distance,mean_out_degree
chain,chain_256,chain_nodes=256,256,510,0.004966666666666667,7.573515,14.521088333333333,41.137377,0.0006557941281778232,0.00034203129632271595,0.00012073367406644976,0.5215528496314499,0.18410301172094662,0.35299013676378377,256,256,256,True,True,True,130560,256,256,510.000128,510.000128,1,1,256,4263,1.992188
chain,chain_1024,chain_nodes=1024,1024,2046,0.037700000000000004,35.919231,65.32737133333333,186.13428633333334,0.0010495770357667178,0.0005770934790508486,0.00020254194293084737,0.549834323146448,0.19297482321808815,0.35096903757077647,1024,1024,1024,True,True,True,2095104,1024,1024,2046.000128,2046.000128,1,1,1024,16808,1.998047
chain,chain_4096,chain_nodes=4096,4096,8190,0.04206666666666667,149.51605266666667,252.93069533333335,757.1121966666666,0.00028135217534434734,0.00016631696920465773,5.556199840905131e-05,0.5911344705300471,0.19748202885244764,0.3340729372039043,4096,4096,4096,True,True,True,33546240,4096,4096,8190.001152,8190.001152,1,1,4096,65192,1.999512
grid,grid_16x16,grid=16x16,256,960,0.0074,1.1734506666666666,1.8182613333333333,5.450463666666667,0.006306187563061876,0.0040698220131172936,0.0013576826583132898,0.645369642500968,0.2152937325026354,0.3335975514254414,31,31,50,True,True,True,29760,609,304,2283.75,1140.0,42,26,256,279,3.75
grid,grid_64x64,grid=64x64,4096,16128,0.30083333333333334,4.439253333333333,7.172309333333334,29.81743966666667,0.06776665144889231,0.04194371984699675,0.010089173875972964,0.6189433733291295,0.14888110390967058,0.24054075110115367,128,128,242,True,True,True,2064384,14182,5109,55841.625,20116.6875,312,123,4096,1065,3.9375
grid,grid_128x128,grid=128x128,16384,65024,1.4111,9.876170666666667,15.785226666666667,65.339689,0.14287926440585338,0.08939371158855706,0.02159636847980712,0.6256590972825224,0.15115117347232349,0.24158711050287773,258,259,533,True,True,True,16776192,119513,20481,474317.21875,81283.96875,1208,249,16384,2006,3.96875
layered,layered_8x64_f4,"layers=8, nodes_per_layer=64, fanout=4",512,1792,0.003833333333333333,0.28292266666666666,0.523968,1.9635306666666665,0.013549049917056251,0.007315968405195228,0.0019522655787397938,0.5399617279426734,0.144088743542245,0.26684991932899105,8,8,16,True,True,True,14336,163,115,570.5,402.5,48,37,92,91,3.5
layered,layered_16x256_f6,"layers=16, nodes_per_layer=256, fanout=6",4096,23040,0.0656,0.6905066666666667,0.8984853333333334,4.849770666666667,0.09500270332895652,0.07301176498521958,0.01352641279532668,0.7685230254175918,0.1423792410252801,0.18526346812825237,16,16,49,True,True,True,368640,1432,906,8055.0,5096.25,182,130,616,236,5.625
layered,layered_32x512_f6,"layers=32, nodes_per_layer=512, fanout=6",16384,95232,0.2884,1.176896,1.991712,12.368192,0.2450513894175866,0.1448000514130557,0.02331787863577797,0.5908966758246172,0.0951550558076718,0.1610350162740035,32,32,117,True,True,True,3047424,6147,3761,35729.4375,21860.8125,386,305,2512,556,5.8125
layered,layered_64x2048_f8,"layers=64, nodes_per_layer=2048, fanout=8",131072,1032192,2.2620666666666667,4.129514666666666,4.220021333333333,33.358016666666664,0.5477802718382403,0.5360320453356318,0.06781178537293135,0.9785530310115335,0.12379377071278717,0.12650696159493896,53,64,285,True,True,True,54706176,39293,23183,309432.375,182566.125,1247,1315,14176,992,7.875
random,random_1024_d8,"random_nodes=1024, out_degree=8, seed=20260523",1024,8192,0.1676,0.6414186666666667,0.9287786666666666,2.1893226666666665,0.26129579432258493,0.18045203449978753,0.07655335714181312,0.6906044353588369,0.2929758488470102,0.42423105593693516,14,14,19,True,True,True,114688,3675,1654,29400.0,13232.0,1290,802,1024,57,8.0
random,random_16384_d8,"random_nodes=16384, out_degree=8, seed=20260523",16384,131072,3.2043,0.7728,1.3592639999999998,3.1297599999999997,4.146350931677018,2.357378699060668,1.023816522672665,0.5685429761988842,0.2469198916210828,0.43430294974694544,12,18,26,True,True,True,1572864,61949,26669,495592.0,213352.0,17676,14183,16384,67,8.0
random,random_65536_d8,"random_nodes=65536, out_degree=8, seed=20260523",65536,524288,14.691633333333334,1.421632,1.7925653333333333,3.087168,10.334343440027611,8.195870499187757,4.758935481753287,0.793071233479914,0.4604971287600804,0.5806503997622848,12,20,32,True,True,True,6291456,285902,105007,2287216.0,840056.0,83274,53929,65536,75,8.0
